strategy_number,name
1,REASONABLE COMPENSATION
2,S-CORP HEALTH INSURANCE
3,ACCOUNTABLE PLAN
4,AUGUSTA RULE
5,ASSET REIMBURSEMENT
6,HIRING KIDS
7,CRYPTOCURRENCY TAX STRATEGIES
8,DEPRECIATION OPTIMIZATION
9,HOME OFFICE DEDUCTION
10,VEHICLE / MILEAGE DEDUCTION
11,HEAVY VEHICLE DEDUCTION
12,QBI DEDUCTION OPTIMIZATION
13,BUSINESS TRAVEL & ENTERTAINMENT
14,SECTION 105 MEDICAL REIMBURSEMENT PLAN
15,TIMING STRATEGIES
16,FAMILY EMPLOYMENT COMPANY
16a,BOARD OF ADVISORS
17,CRYPTO MINING & DEFI
18,SEP-IRA
19,SOLO 401(k)
20,CASH BALANCE PLAN
21,MEGA BACKDOOR ROTH
22,HSA CONTRIBUTIONS
23,BACKDOOR ROTH IRA
24,ROTH CONVERSION STRATEGY
25,EMPLOYER 401(k) MATCH
26,PROFIT SHARING CONTRIBUTION
27,CATCH-UP CONTRIBUTIONS
28,SELF-DIRECTED ACCOUNTS
29,R&D TAX CREDIT
30,WOTC (Work Opportunity Tax Credit)
31,PTET ELECTION
32,DISABLED ACCESS CREDIT
33,ENERGY EFFICIENCY CREDITS
34,STATE-SPECIFIC CREDITS
35,SMALL EMPLOYER HEALTH CREDIT
36,RE PROFESSIONAL STATUS
37,COST SEGREGATION STUDY
38,STR LOOPHOLE
39,SELF-RENTAL LOOPHOLE
40,1031 EXCHANGE
41,GROUPING ELECTION (§469)
42,QUALIFIED OPPORTUNITY ZONE
43,PIGs vs PALs OPTIMIZATION
44,EQUIPMENT LEASING STRATEGY
45,SOFTWARE RTU (RIGHT TO USE)
46,OIL & GAS INVESTMENTS
47,FILM/ENTERTAINMENT CREDITS
48,INSTALLMENT SALE
49,STRUCTURED SALE (DST)
50,CAPTIVE INSURANCE
51,QSBS EXCLUSION (§1202)
52,S-CORP TO C-CORP CONVERSION
53,INSTALLMENT SALE OF BUSINESS
54,ESOP SALE
55,INTENTIONALLY DEFECTIVE GRANTOR TRUST (IDGT)
56,GRANTOR RETAINED ANNUITY TRUST (GRAT)
57,FAMILY LIMITED PARTNERSHIP
58,BUY-SELL AGREEMENT FUNDING
59,CHARITABLE REMAINDER TRUST (CRT)
60,PRIVATE PLACEMENT LIFE INSURANCE (PPLI)
61,DYNASTY TRUST
62,DONOR ADVISED FUND (DAF)
63,QUALIFIED CHARITABLE DISTRIBUTION (QCD)
64,CHARITABLE LEAD TRUST (CLAT/CLUT)
65,PRIVATE FOUNDATION
66,APPRECIATED STOCK DONATION
67,CHARITABLE BARGAIN SALE
68,CONSERVATION CONTRIBUTION
69,CHARITABLE GIFT ANNUITY
70,POOLED INCOME FUND
71,SUPPORTING ORGANIZATION
72,BUNCHING STRATEGY
73,CONSERVATION EASEMENT (ACQUISITION)
74,FINANCED BUSINESS INSURANCE
75,LEVERAGED TECHNOLOGY PURCHASE
76,LEVERAGED TRADING PARTNERSHIP
77,PREMIUM FINANCED LIFE INSURANCE
78,AIRCRAFT DEPRECIATION & LEASEBACK
79,RENEWABLE ENERGY TAX EQUITY
80,FAMILY OFFICE / HOLDING STRUCTURE
